FullName	Population
Z002E0069:61VBRAAXX:6:250021409	B73 x CML103
Z002E0070:61VBRAAXX:7:250021436	B73 x CML103
Z002E0071:61VBRAAXX:7:250021448	B73 x CML103
Z002E0072:61VBRAAXX:7:250021460	B73 x CML103
Z002E0073:61VBRAAXX:7:250021472	B73 x CML103
Z002E0074:61VBRAAXX:6:250021374	B73 x CML103
Z002E0075:61VBRAAXX:6:250021386	B73 x CML103
Z002E0075:D260TACXX:5:250178783	B73 x CML103
Z002E0076:61VBRAAXX:6:250021398	B73 x CML103
Z002E0077:61VBRAAXX:6:250021410	B73 x CML103
Z002E0078:61VBRAAXX:7:250021437	B73 x CML103
Z002E0079:61VBRAAXX:7:250021449	B73 x CML103
Z002E0080:61VBRAAXX:7:250021461	B73 x CML103
Z002E0081:61VBRAAXX:7:250021473	B73 x CML103
Z002E0082:61VBRAAXX:6:250021375	B73 x CML103
Z002E0083:61VBRAAXX:6:250021387	B73 x CML103
Z002E0084:61VBRAAXX:6:250021399	B73 x CML103
Z002E0085:61VBRAAXX:6:250021411	B73 x CML103
Z002E0086:61VBRAAXX:7:250021438	B73 x CML103
Z002E0087:628NJAAXX:4:250024672	B73 x CML103
Z002E0088:61VBRAAXX:7:250021462	B73 x CML103
Z002E0089:61VBRAAXX:7:250021474	B73 x CML103
Z002E0090:61VBRAAXX:6:250021388	B73 x CML103
Z002E0091:61VBRAAXX:6:250021400	B73 x CML103
